year,decade,century,tried,deaths,city,gadm.adm2,gadm.adm1,gadm.adm0,lon,lat,record.source
,1550,1500,2,2.0,,,Basel-Landschaft,Switzerland,,,Bader (1945)
,1560,1500,2,2.0,,,Basel-Landschaft,Switzerland,,,Bader (1945)
,1570,1500,2,2.0,,,Basel-Landschaft,Switzerland,,,Bader (1945)
,1580,1500,2,2.0,,,Basel-Landschaft,Switzerland,,,Bader (1945)
,1590,1500,2,2.0,,,Basel-Landschaft,Switzerland,,,Bader (1945)
,1600,1600,11,8.0,,,Basel-Landschaft,Switzerland,,,Bader (1945)
,1610,1600,11,8.0,,,Basel-Landschaft,Switzerland,,,Bader (1945)
,1620,1600,11,8.0,,,Basel-Landschaft,Switzerland,,,Bader (1945)
,1630,1600,11,8.0,,,Basel-Landschaft,Switzerland,,,Bader (1945)
,1640,1600,11,8.0,,,Basel-Landschaft,Switzerland,,,Bader (1945)
,1650,1600,2,1.0,,,Basel-Landschaft,Switzerland,,,Bader (1945)
,1660,1600,2,1.0,,,Basel-Landschaft,Switzerland,,,Bader (1945)
,1670,1600,2,1.0,,,Basel-Landschaft,Switzerland,,,Bader (1945)
,1680,1600,2,1.0,,,Basel-Landschaft,Switzerland,,,Bader (1945)
,1690,1600,2,1.0,,,Basel-Landschaft,Switzerland,,,Bader (1945)
,1400,1400,2,0.0,,,Basel-Stadt,Switzerland,,,Bader (1945)
,1410,1400,2,0.0,,,Basel-Stadt,Switzerland,,,Bader (1945)
,1420,1400,2,0.0,,,Basel-Stadt,Switzerland,,,Bader (1945)
,1430,1400,2,0.0,,,Basel-Stadt,Switzerland,,,Bader (1945)
,1440,1400,2,0.0,,,Basel-Stadt,Switzerland,,,Bader (1945)
,1450,1400,1,1.0,,,Basel-Stadt,Switzerland,,,Bader (1945)
,1460,1400,1,1.0,,,Basel-Stadt,Switzerland,,,Bader (1945)
,1470,1400,1,1.0,,,Basel-Stadt,Switzerland,,,Bader (1945)
,1480,1400,1,1.0,,,Basel-Stadt,Switzerland,,,Bader (1945)
,1490,1400,1,1.0,,,Basel-Stadt,Switzerland,,,Bader (1945)
,1500,1500,2,1.0,,,Basel-Stadt,Switzerland,,,Bader (1945)
,1510,1500,2,1.0,,,Basel-Stadt,Switzerland,,,Bader (1945)
,1520,1500,2,1.0,,,Basel-Stadt,Switzerland,,,Bader (1945)
,1530,1500,2,1.0,,,Basel-Stadt,Switzerland,,,Bader (1945)
,1540,1500,2,1.0,,,Basel-Stadt,Switzerland,,,Bader (1945)
,1600,1600,1,0.0,,,Basel-Stadt,Switzerland,,,Bader (1945)
,1610,1600,1,0.0,,,Basel-Stadt,Switzerland,,,Bader (1945)
,1620,1600,1,0.0,,,Basel-Stadt,Switzerland,,,Bader (1945)
,1630,1600,1,0.0,,,Basel-Stadt,Switzerland,,,Bader (1945)
,1640,1600,1,0.0,,,Basel-Stadt,Switzerland,,,Bader (1945)
,1650,1600,1,0.0,,,Basel-Stadt,Switzerland,,,Bader (1945)
,1660,1600,1,0.0,,,Basel-Stadt,Switzerland,,,Bader (1945)
,1670,1600,1,0.0,,,Basel-Stadt,Switzerland,,,Bader (1945)
,1680,1600,1,0.0,,,Basel-Stadt,Switzerland,,,Bader (1945)
,1690,1600,1,0.0,,,Basel-Stadt,Switzerland,,,Bader (1945)
,1450,1400,1,1.0,,,Bern,Switzerland,,,Bader (1945)
,1460,1400,1,1.0,,,Bern,Switzerland,,,Bader (1945)
,1470,1400,1,1.0,,,Bern,Switzerland,,,Bader (1945)
,1480,1400,1,1.0,,,Bern,Switzerland,,,Bader (1945)
,1490,1400,1,1.0,,,Bern,Switzerland,,,Bader (1945)
,1500,1500,2,2.0,,,Bern,Switzerland,,,Bader (1945)
,1510,1500,2,2.0,,,Bern,Switzerland,,,Bader (1945)
,1520,1500,2,2.0,,,Bern,Switzerland,,,Bader (1945)
,1530,1500,2,2.0,,,Bern,Switzerland,,,Bader (1945)
